¿Cuál es la utilidad del concepto de 'tipos textuales' en los ambientes virtuales de aprendizaje según Juan Carlos Asinsten?,"Ayuda a clasificar los diferentes textos que circulan, atendiendo a su contenido, forma (estilo) y función, para construir expectativas de interpretación que ayuden a la comprensión."
"Según la lingüística, ¿quién establece las características de los diferentes tipos textuales?","Es la sociedad con su uso la que ha establecido cómo es cada uno de los tipos textuales, ya que son construcciones culturales sociales."
"En el contexto de la producción de material didáctico, el 'esquema global' de un texto debe ser acorde con el '_____', que se refiere a lo que el autor se propone que suceda.",objetivo accional
"En la educación virtual, ¿por qué es importante atender y respetar las tipologías textuales?",Ayuda a los estudiantes a una mejor comprensión y a la construcción de los esquemas de interpretación de los lectores en esta etapa fundacional.
¿Qué función principal cumplen las guías didácticas en la educación a distancia?,Informar a los estudiantes lo necesario para que no tengan que adivinar ni buscar indicios sobre el curso o materia.
"Para muchos autores, la Guía Didáctica condensa el _____ entre docente y alumno.",contrato pedagógico
¿Qué componente de una guía didáctica debe explicar el porqué y para qué sirve aprender los contenidos de la materia?,La fundamentación o justificación.
"En una guía didáctica, ¿cómo deben redactarse los objetivos educativos?","En términos comprensibles para los estudiantes, no en la jerga del sistema educativo, y pueden describirse como capacidades a conseguir."
¿Qué información clave sobre la evaluación debe incluir una guía didáctica para orientar el estudio de los alumnos?,"El método y los criterios de evaluación, modalidad de los exámenes y sobre qué aspectos se centrarán."
¿Por qué no es conveniente incluir la presentación del docente en la Guía Didáctica general del curso?,Porque obliga a reeditar la guía cada vez que cambia el profesor a cargo de la materia.
¿Qué son las Unidades Didácticas en el contexto de la educación virtual?,"Constituyen el tipo textual central que contiene todos los contenidos de la materia, estructurados y organizados para su aprendizaje."
"Una Unidad Didáctica debe tener un sentido propio, unitario y _____, funcionando como un organizador de la información.",completo
"¿Qué elemento de la Unidad Didáctica, ubicado siempre al principio, funciona como un organizador previo que ayuda a construir las redes cognitivas del estudiante?",La estructura de contenidos o índice.
¿Cuál es la diferencia fundamental entre una introducción y un resumen en una Unidad Didáctica destinada al aprendizaje?,"La introducción debe dar una visión global para orientar al alumno, mientras que un resumen con alta densidad conceptual es el resultado del aprendizaje, no el inicio."
¿Por qué en la educación virtual se prefiere editar cada Unidad Didáctica en un documento separado?,"Facilita su distribución digital, ya que mientras más livianas sean las unidades, más fácil resulta descargarlas de la Web o de los Campus Virtuales."
¿Cuál es la función principal de una Guía de Lectura?,"Ayudar a los estudiantes a preguntarles a los textos lo que necesitan saber, ofreciendo categorías de análisis para interpretarlos."
"Según García Aretio, ¿para qué tipo de materiales es especialmente recomendable elaborar guías de lectura?","Para todos los materiales que no fueron escritos especialmente para la materia o curso, ya que no son materiales didácticos o lo son para otros contextos."
¿Qué elemento de una guía de lectura ofrece un modelo de análisis para el texto?,"Las preguntas que orientan a la búsqueda de información relevante, ya que las preguntas son categorías de análisis."
Una de las tareas de la guía de lectura es aclarar los _____ de conocimiento que el autor atribuye al lector y que los estudiantes no poseen.,supuestos
¿Qué pauta se recomienda para la longitud de los mensajes de correo electrónico en un entorno educativo?,"Los textos de los mensajes de correo tienden a ser cortos, muy concretos y específicos."
"Al responder un correo electrónico, ¿por qué no es de 'buena educación' cibernética dejar todo el contenido del mensaje anterior?",Porque consume tiempo del receptor y lo obliga a un trabajo de búsqueda para identificar lo nuevo en el mensaje.
¿Para qué se utiliza principalmente el correo electrónico en un campus virtual?,"Se utiliza para comunicaciones referidas a un tema puntual y concreto, como consultas y respuestas puntuales."
¿Cuál es el rol del foro de debate en el aprendizaje colectivo en la educación a distancia?,Permite rescatar los grupos de estudio y que la institución y los docentes convoquen y dirijan actividades colectivas de aprendizaje.
"En un foro de debate, ¿por qué se recomienda que las intervenciones sean breves, de un par de párrafos?","Para ayudar a que todos los participantes lean todas las intervenciones, evitando la acumulación de una gran cantidad de texto por cada ronda del debate."
"El foro es un tipo de debate _____, lo que permite que las participaciones sean más meditadas y fundamentadas.",asincrónico
¿Qué dos componentes debe incluir la 'consigna convocante' de un foro para asegurar su éxito pedagógico?,El tema a tratar y la redacción de las preguntas que orientan el debate.
Una buena consigna de foro no debe insinuar cuál es la respuesta esperada para evitar obtener respuestas '_____'.,políticamente correctas
"Una consigna de foro como «Lean el material y escriban sus opiniones» puede inducir a la publicación de pequeños _____, sin generar interacción real.",monólogos paralelos
¿Qué características debe tener el texto de una consigna de trabajo?,"Debe tener claridad, nitidez y precisión, estableciendo sin ambigüedades lo que el alumno debe realizar."
"Según Carlino, ¿por qué los estudiantes a veces no comprenden las consignas de los docentes?",Porque habitan mundos culturalmente distintos e ignoran las expectativas de uso y los modos de hacer que hay detrás de las palabras.
¿Por qué generalmente no es conveniente incluir las consignas en los textos de las Unidades Didácticas?,Porque cristalizar las consignas en el texto quita flexibilidad; las plataformas virtuales permiten gestionarlas de manera más ágil y oportuna.
"Al redactar consignas, la elección del verbo que expresa la acción principal es muy importante porque es el que indica _____.",qué se debe hacer
¿Cuál es el concepto central de una 'clase virtual' en la educación a distancia?,"Intenta reproducir lo que el docente hace en clase: explicar, ampliar, ejemplificar y ayudar a desentrañar conceptos complejos."
¿Qué función cumple la periodicidad de la clase virtual en el proceso de aprendizaje del alumno?,Ayuda a organizar el estudio continuo de los alumnos y a marcar el ritmo del trabajo.
"En el modelo propuesto, la clase virtual cumple una función de _____ y gestionadora del cursado, donde confluyen explicaciones, consignas, lecturas y plazos.",centralizadora
"¿Para qué tipo de comunicación se recomienda reservar el chat en la educación virtual, según el autor?",Para consultas puntuales entre un alumno y el docente.
¿Qué es la presentación del docente y cuál es su objetivo principal?,"Es una carta de bienvenida cuyo objetivo es 'achicar las distancias', mostrando al docente como persona para responder a la pregunta '¿quién es el profe?'."
Concepto: Glosario,"Definición: Una lista de palabras específicas de una disciplina, con una explicación breve de cada una, que especifica el sentido con que se utiliza en esa disciplina."
¿A qué se refiere la palabra 'digital' en el contexto de los materiales didácticos?,"Se refiere a la información codificada numéricamente (en dígitos) de manera que pueda ser reconocida, almacenada y operada por las computadoras."
¿Cuáles son las dos características que la multimedia informática no comparte con medios como el cine o el video?,La posibilidad de un recorrido (navegación) no secuencial y la capacidad de interactividad.
"En un documento multimedia, ¿qué significa la navegación no lineal?","Es la posibilidad de realizar distintos recorridos en el documento, enlazando conceptos relacionados jerárquicamente y ofreciendo varios niveles de información."
La capacidad de un documento multimedia para dar respuestas diferenciadas a acciones o ingreso de información diferenciados por parte del usuario se llama _____.,interactividad
¿Por qué los botones o enlaces de navegación no se consideran verdaderas instancias de interactividad?,Porque cumplen siempre la misma función y no responden de manera diferenciada a las acciones del usuario.
"Según la investigación citada por Richard Mayer, ¿qué factor es más determinante para el aprendizaje, el medio tecnológico utilizado o la forma en que se usa?","La forma en que la tecnología utilizada refuerza los procesos de aprendizaje humanos, no el medio en sí."
Concepto: Hipertexto,"Definición: Un tipo especial de texto en el que diferentes unidades textuales están enlazadas por vínculos (links), permitiendo seguir distintos hilos de lectura."
"En la práctica, la casi totalidad de las obras hipertextuales son obras de _____, como diccionarios, enciclopedias o ayudas de software.",referencia
"En el contexto de una clase, ¿a qué se refiere la función de 'demostrar' apoyada en recursos multimedia?","Consiste en el desarrollo de pasos lógicos para demostrar la veracidad de las premisas enunciadas, apoyándose en imágenes o animaciones interactivas."
"En Argentina, se llaman _____ a materiales o situaciones que sirven para preparar una situación de aprendizaje, despertando emociones o reflexiones.",disparadores
¿Qué es un Objeto de Aprendizaje (OA)?,"Es una unidad mínima de formación, digital o no, que puede ser reusada y secuenciada con otros objetos para conformar cursos que abarquen objetivos más amplios."
"Una idea peligrosa subyacente al concepto de Objetos de Aprendizaje es que presuponen que hay _____, válidas en cualquier contexto y para cualquier alumno.",respuestas unívocas (verdades únicas)
¿Qué crítica se hace a la mayoría de los Objetos de Aprendizaje encontrados en repositorios?,"Que son en realidad objetos de enseñanza con un discurso docente expositivo y lineal, donde la interactividad está casi siempre ausente."
"El autor propone orientarse a lo que llama 'objetos digitales educativos', que se caracterizan por ser archivos de poco peso, aptos para ser incrustados en _____.",clases virtuales
¿Cómo se define el 'lenguaje multimedia'?,"No es una simple suma de lenguajes (visual, sonoro, de movimiento), sino un lenguaje nuevo, una síntesis integradora con modos expresivos propios."
Concepto: Programas de autor,"Definición: Son aquellos que sirven para producir aplicaciones, en general multimedia, como presentaciones, documentos interactivos u otros objetos digitales."
"El programa _____ se ha convertido en el programa de autor por excelencia, produciendo documentos muy livianos y con un potente lenguaje de scripts llamado ActionScript.",Adobe Flash
"En la terminología de medios digitales, ¿qué término integra las características de los hipertextos con el enfoque multimedial?",Hipermedio.
"Desde un enfoque comunicacional, un documento informático multimedia combina diversos lenguajes en una estructura integrada, ofreciendo acceso no lineal y un cierto grado de _____.",interactividad
"Al evaluar un objeto didáctico digital, ¿cuál es el aspecto más importante a considerar?","La didáctica: cómo suministra la información, qué estrategias didácticas involucra y si contacta con lo que los alumnos ya saben."
"En la evaluación de un objeto multimedia, ¿a qué se refiere el criterio de 'navegación/usabilidad'?","A que la navegación entre pantallas y opciones sea muy clara y sencilla, con comandos reconocibles y homogéneos."
¿Qué es la 'Fundamentación' en la guía didáctica de la materia 'La producción de material didáctico'?,"Explica la importancia de la elaboración de textos para el docente en entornos virtuales, ya que la mayor parte de su actividad se materializa en soportes textuales."
¿Cuál es uno de los objetivos principales de la materia 'La producción de material didáctico'?,Distinguir las características de cada uno de los tipos textuales que se utilizan en la educación virtual.
"En la guía didáctica de ejemplo, ¿cómo se gestionan las actividades y la evaluación?","Se gestionarán a través del Campus, mediante clases y consignas semanales, y se evaluarán en conjunto por Unidad."
"En el MOOC 'Fundamentos de Programación', ¿cuál es la finalidad principal del curso?","Adentrar al estudiante en el mundo de la programación, proporcionando conocimientos básicos orientados a la solución de problemas y la formulación de programas."
"¿Qué herramienta principal se utiliza en el MOOC 'Fundamentos de Programación' para analizar, evaluar y crear algoritmos?",La herramienta PseInt (PSeudo Intérprete).
¿Cuáles son los 3 módulos temáticos del MOOC 'Fundamentos de Programación'?,Módulo 1: Conceptos básicos. Módulo 2: Algoritmos. Módulo 3: Condicionales y estructuras de control.
Concepto: Informática (definición etimológica),Definición: Es de origen francés y nace de la unión de los vocablos INFORmación + autoMÁTICA.
Un _____ es una secuencia de instrucciones que le dicen al computador cómo ejecutar una tarea.,programa
¿Cuáles son las cuatro operaciones mentales o etapas que intervienen en la resolución de un problema según Polya?,"1. Entender el problema, 2. Trazar un plan, 3. Ejecutar el plan, 4. Revisar la solución."
"En la resolución de problemas por computador, la etapa de 'Diseñar un algoritmo' se alinea con la etapa de Polya de '_____'.",Trazar un plan
"En la fase de análisis de un problema, ¿qué se debe hacer para 'formular el problema'?","Hacer una representación precisa del problema y especificar lo más exactamente posible lo que hay que hacer, no cómo hay que hacerlo."
La fase de traducción de un algoritmo a un lenguaje de programación se conoce comúnmente como _____ o implementación.,codificación
"El proceso de probar un programa, validar sus resultados y corregir errores se conoce como _____.",depuración
Concepto: Algoritmo,Definición: Un conjunto ordenado y finito de operaciones que permite hallar la solución de un problema.
"Según Donald Knuth, un requisito de un algoritmo es que debe ser _____, es decir, siempre debe terminar después de un número específico de pasos.",finito
"En programación, ¿qué es una variable?","Es un espacio en la memoria del computador donde se almacenan datos, identificado por un nombre, un tipo y un valor."
"La declaración de una variable especifica su _____, que determina la clase de dato que puede almacenar y las operaciones que se pueden realizar.",tipo
¿Qué es un diagrama de flujo?,Es una representación gráfica y esquemática de un algoritmo que ofrece una descripción visual de las actividades implicadas en un proceso.
"En un diagrama de flujo, ¿qué símbolo se utiliza para el inicio y fin de un algoritmo?",El símbolo de Terminal (forma ovalada).
"El _____, también conocido como falso lenguaje, es una representación de alto nivel e informal del principio operativo de un algoritmo, concebido para la lectura humana.",pseudocódigo
¿Cuál es la utilidad de documentar un algoritmo?,"Hacer posible su revisión y facilitar su comprensión en un futuro, explicando la lógica y el propósito de cada parte del código."
¿Qué es una prueba de escritorio?,"Es una ejecución a mano y paso a paso de un algoritmo para entender qué hace y verificar si cumple su objetivo, registrando los valores de las variables."
"Según Böhm y Jacopini, ¿qué tres estructuras de control son suficientes para formular cualquier algoritmo sin necesidad de la instrucción 'goto'?","1. Estructuras secuenciales, 2. Estructuras de selección y 3. Estructuras de repetición."
"La estructura algorítmica más simple, donde la ejecución es lineal (una instrucción después de otra), corresponde al _____.",flujo secuencial
¿Qué hace la estructura de decisión 'Si-entonces' (If-Then)?,"Evalúa una condición y, si es verdadera, ejecuta un bloque de sentencias; si es falsa, ignora ese bloque."
La estructura 'Si-entonces-sino' (If-Then-Else) se diferencia de 'If-Then' en que ejecuta un bloque de sentencias alternativo cuando la condición es _____.,falsa
¿Qué es una estructura de decisión anidada?,Ocurre cuando una o ambas bifurcaciones de una sentencia If-Then o If-Then-Else contienen también otra estructura de decisión If.
¿Cuándo se utiliza la estructura de selección múltiple (Switch)?,"Se utiliza cuando hay más de dos alternativas en una estructura de decisión, basándose en valores preestablecidos de una variable."
¿Cómo funciona la estructura de repetición 'Mientras' (While)?,Ejecuta repetidamente un bloque de sentencias mientras una condición sea verdadera; la condición se evalúa antes de cada iteración.
¿Cuál es la diferencia principal entre la estructura 'Repetir Hasta' (Repeat-Until) y 'Mientras' (While)?,"En 'Repetir Hasta', el bloque de sentencias se ejecuta al menos una vez, ya que la condición se evalúa después de cada iteración."
La estructura de repetición 'Para' (For) se utiliza cuando se sabe de antemano _____.,cuántas veces se debe ejecutar el bloque de sentencias
Un _____ es una variable que incrementa su valor en un número fijo cada vez que se cumple una condición o se realiza una iteración.,contador
"Un _____ es una variable que suma a su valor una cantidad que puede ser variable, utilizándose para efectuar sumas sucesivas.",acumulador
"Una _____, también llamada interruptor, es una variable que durante la ejecución de un algoritmo toma uno de dos o más valores posibles para controlar el flujo.",bandera